,사고원인,재발방지대책 및 향후조치계획
17644,거푸집 작업공간이 좁아 이동식 틀비계 진입이 어려워 작업용 발판을 추가로 설치하여 작업을 하다 발이 미끄러져 떨어짐,"재발 방지 및 향후 조치 계획으로 기술적 대책으로는 재해위험구간 작업 시 안전을 최우선으로 작업방법을 선정하고, 관리적 대책으로는 휴일작업 시 관리감독자가 현장에 상주하여 점검 및 관리지도를 실시하며, 발주처에 휴일작업계획을 제출할 때 공종별 구체적인 출력인원과 관리감독자 배치를 승인받고, 안전교육으로는 TBM 시 당일 작업계획 및 방법, 위험요소에 대해 근로자에게 전파교육을 실시하고, 위험성평가 결과에 따라 관리감독자와 근로자 간 재해취약구간 작업방법을 협의 및 교육하며, 사고 발생 시 조치계획으로는 현장 비상연락망에 따라 신속한 보고절차를 진행하는 것이다."
2184,2023년 8월 24일 오전 11시 27분 재해자인 작업자가 시스템 비계 높이 1.78m 위에서 자재를 인양하기 위해 2열발판중 1개발판을 제거하여 인양재인 단열재 그라스울(2m*1m*130t)를 가지고 부착을 위해 이동중 제거한 발판아래로 추락한 사고임.,"사고 발생 즉시 현장 작업자들에게 특별 교육을 실시하고 사고 발생 원인 및 처리 과정을 전파하며 근로자들의 안전한 이동을 위한 발판 고정 상태 재정비와 안전한 보행로 확보를 위한 시스템 비계 체결 상태 및 주변 정리 정돈을 시행한 후, 11대 안전 수칙 입간판을 각 층에 비치하여 사고 사례를 개재함으로써 주의 환기를 유도한 조치와 함께, 향후 시공사인 (주)부운종합건설 현장 대리인 및 감리단과 주단위 공정 회의를 통해 안전 의식 고취와 협력업체들과의 유기적인 안전 활동을 충실히 이행하여 동일 사고 발생 방지를 위한 협의에 적극 임할 계획."
2496,외부비계 작업발판의 단차발생으로 이동중 걸려 넘어짐,"외부비계의 작업발판은 발빠짐 우려가 없도록 밀실하게 설치되고, 유동이나 탈락되지 않도록 2개소 이상 고정조치되며, 단차 발생 구간에 경사로가 설치되어 근로자가 이동 중 걸려넘어지지 않도록 조치되며, 작업발판 위에는 근로자의 이동이나 작업에 방해되는 기자재의 적재가 금지되고 정격하중이 준수되며, 근로자는 현장 진입 시 안전모 및 안전화 등 개인 보호구 착용을 철저히 하고 돌출 자재에 걸려넘어지지 않도록 복장을 단정히 하며 지정된 통로를 이용하여 이동하고, 작업 전 위험 요소에 대한 안전 교육이 실시되어 근로자에게 주지되도록 하는 조치."
16855,"1. 기계적 원인 / 대책 : N/A2. 물질 환경적 원인 / 대책- 원인 : 돌출된 비계 발판 식별 조치 미흡- 대책 : 작업 전 주변 지형 확인 후 작업 진행, 미 식별된 돌출부 식별 조치 후 작업 진행3. 인적 원인 / 대책- 원인 : 작업 중 예상 위험요소 도출 미흡, 안전의식 부족으로 인한 불안전한 행동- 대책 : 사고사례를 전 근로자에게 전파하여 협소 공간 이동 시 돌출부 위험요인 인지작업 전 도출된 위험요소 전파(현장 팀별 T.B.M시 팀장→팀원)4. 관리적 원인 / 대책- 원인 : 작업 전  위험성 평가 미흡, 협소 공간 작업 전 돌출부 식별 조치- 대책 : 위험작업 시 작업 전 작업장소 위험요소(준비작업 포함) 및 준비상태 확인,위험성평가 전파교육 등 수시안전교육 강화","기계적 원인에 대한 대책은 미비하며, 물질 환경적 원인으로는 돌출된 비계 발판 식별 조치 미흡이 확인되어 작업 전 주변 지형 확인 및 미 식별된 돌출부 식별 조치가 필요하고, 인적 원인으로는 작업 중 예상 위험요소 도출 미흡과 안전의식 부족으로 인한 불안전한 행동이 나타나 사고사례 전파 및 위험요소 도출 전파가 요구되며, 관리적 원인으로는 작업 전 위험성 평가 미흡과 협소 공간 작업 전 돌출부 식별 조치가 필요하여 위험작업 시 작업장소 위험요소 및 준비상태 확인과 위험성 평가 전파교육 및 수시 안전교육 강화가 필요함."
10279,높이 1m 정도의 말비계 위에서 작업 후 지면으로 내려오는 과정에서 말비계의 답단에 발을 헛디여 미끄러지면서 넘어짐,"근로자 및 관리감독자의 안전관리 강화를 위한 교육, 모든 근로자에게 위험포인트 사고 위험성 전파를 위한 사고사례 표지판 현장 게시, 말비계 답단부 시인성 확보 및 미끄럼 방지를 위한 컬러 색상의 미끄럼방지 테이프 부착, 주말작업 시 관리감독자의 현장 상주관리 강화, 동종 및 유사사고 재발방지를 위한 근로자 안전교육 및 작업장 정리정돈 강화, 휴일작업 중 관리감독자 및 안전관리자의 현장 전진배치, 현장 합동안전점검 강화, 매일 아침조회시간에 위험포인트에 대한 근로자 전파 수시교육 강화를 포함한 종합적인 안전관리 대책."
798,부대시설 벽체 콘크리트 타설면 정리 후 시스템비계로 이동 중 발을 헛디뎌 좌측 발목 염좌(평소 퇴행성 질환을 가지고 있는 노동자),"시스템 비계로 이동 중 발생할 수 있는 사고에 대한 아침 조회 시 사례 전파 및 주기적인 안전교육 시행, 미끄럼 주의 경고 문구 게시 등 사고 위험부 사전 안내를 통한 안전한 이동경로 확보와 노동자 측에서 제출한 진단서의 질병 원인에 대한 확실한 근거 부족 및 의사의 장기 휴식 권고를 고려한 MRI 결과를 바탕으로 한 추가적인 증빙서류 제출 필요성, 그리고 현장방문 또는 전화 통화 거부로 인한 산재 여부 판단의 어려움."
5050,안전한 승강통로가 아닌 외측비계로 매달려 승강하려다 연결재가 탈락,"작업 전 TBM 실시 후 작업 지휘자 지정에 따른 수시 점검 및 관리 감독, 가시설 임의 해체와 정상 통로 미사용 등 불안전한 행동에 대한 작업자 강력 통제 및 경고 조치, 가시설물과 안전시설물의 설치 및 유지 상태에 대한 수시 점검, 재해 사례 전파 및 안전 교육 철저, 상습적 안전 수칙 위반자에 대한 현장 퇴출 경고, 안전 시설물 임의 해체 등 불안전한 행동에 대한 감시 및 관리 감독 강화와 수시 안전 교육 실시."
6456,말비계 작업을 통한 알폼 해체시 상하이동방법에 대한 안전관리 대책 수립 누락,"위험성 평가 항목에 알폼해체 절차 및 상하이동방법에 대한 안전대책 관리, 알폼해체 표준안전작업 절차 개선, 신규자 및 정기안전 교육 시 작업발판 사용 유의사항 교육, 해체된 자재의 충돌 위험요인 발굴 및 근로자 전파교육과 관리감독자 피드백 활동 실시, 알폼해체 작업 위험성 평가 항목 추가, 단위작업별 표준작업절차 수립, 현장 근로자 전파교육 실시, 협력사 본사 현장지원 강화."
18231,"시스템 비계 작업발판 고정 미흡, 근로자 안전고리 미체결","추락 우려 위치에서의 안전대 및 안전고리 체결 철저, 1~3층 비계 난간대 틈새 안전망 설치, 비계발판 단부 및 벽 이음 철물 보강, 안전사고 재발 방지 계획 수립 및 이행, 산업재해보상보험에 의한 사고 근로자 보상, 공사현장 종합점검 실시 및 확인 후 공사 재개, 안전점검 시 유사사고 재발 방지를 위한 중점 점검, 일일 공사 결산회의 강화 등으로 구성된 안전 관리 방안."
4159,"벽체 철근 설치를 위해 작업장 지면에서 철근 조립 후 크레인으로 철근 구조물 인양/조립작업 중(개인보호구 착용, 안전벨트 걸이용 로프에 안전고리 체결) 철근 구조물 하부에 설치한 비계 파이프가 구조물 하중을 받아 변형이 발생하였고, 그로인해 철근 구조물이 한쪽으로 기울면서 시스템 비계 충돌.시스템 비계 충돌로 비계 상부 작업 중이던 근로자가 추락(추락 중 안전로프 절단)","중량물 인양 작업 전 적정 하중 검토 및 작업계획서 작성과 발주청 작업 승인 후 작업 진행, 중량물 인양 시 구조물의 인양부재 고정 및 지지 상태 확인, 수평 구명줄의 안전성 확보를 위한 안전로프에서 와이어로의 교체, 재발 방지 대책 이행 여부 확인 후 작업 재개 지시, 작업계획서와 안전관리계획의 적정성 검토, 안전관리매뉴얼 활용한 시공사 및 감리용역사 안전교육 시행."
