,Unnamed: 0,사고원인,재발방지대책 및 향후조치계획
0,3,"교각 기초철근 조립 중 강한 바람에 의해 기둥측 주철근이 균형을 잃고 전도되어, 하부에서 작업 중이던 철근공 2명이 철근에 부딪힌 사고","위험성 평가 및 교육을 통해 작업장 내 위험요인과 안전수칙을 근로자에게 전파하고, 근로자 안전교육을 강화하며, 본 사고와 관련된 유사 피해 발생 방지를 위한 안전교육을 실시할 계획."
1,5,일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함,"인근 작업장의 윈치양중 사고 강조 및 안전교육, 윈치양중 작업 최소화와 가능한 CAR작업 진행을 포함한 유사사고 재발 방지 대책 제출."
2,9,기존 CIP 절단 작업 중 와이어쏘 날이 끊어져 재해자가 작업 CIP 뒤쪽으로 와이어 확인 및 교체작업 중 개구부로 추락,"공사현장 안전줄 설치 및 안전벨트 착용, 개구부 추락방지망 및 난간대 설치, 안전관리 교육의 이행."
3,10,"사고자(000) 단독으로 임의작업 시행(작업계획 3층, 사고현장 1층)으로 안전고리 미착용 등 근로자 부주의, 2인이상 작업 미시행","공사 중지와 위험성 평가 재검토 및 재수립, 안전교육 시행, 현장 내 안전시설물 재점검 및 보강, 안전 보호 장비 착용 후 작업 시행, 위험성 평가 반영한 작업계획 수립 및 안전교육 실시, 작업방법에 대한 상시 관리감독 및 작업자 맞춤 안전교육 실시."
4,11,1.작업자 단독작업 실시    2. 사다리 전도방지장치  및  2인1조 작업 미이행,특별교육 및 특수형태근로종사자교육 실시와 건설사고 발생에 따른 근로자 안전교육 및 현장 안전관리 철저 공문 발송 예정.
5,15,창호구간 사춤작업을 위해 우마작업대를 들고 공구를 운반대차에 싣고 이동중 바닥의 결빙구간을 정확히 인지하지 못하여 미끄러져 넘어지면서 들고 가던 우마작업대가 위에 떨어지며 우측 가슴부위를 가격하여 충격을 받은 사고,"작업환경의 사전점검을 통한 관리감독 강화, 결빙구간 제거 및 출입금지 조치, 근로자 대상 안전교육 실시, 시공자의 안전관리 업무 강화 지시 및 발주자/건설사업관리단 현장안전점검 실시 예정."
6,20,"2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임",인력운반 작업 시 1인당 적정무게 준수 및 중량물의 무게별 작업방법 공유와 2인1조 작업 시 의사소통 미흡으로 발생한 사고사례 전파 교육 실시.
7,23,우레탄폼 사춤작업 준비 중 얼어있는 우레탄폼 케이스를 토치로 가열하다 케이스가 폭발하면서 파편에 맞아 우측 발가락 골절됨,"유사사고 재발 예방을 위한 전 근로자 사고 내용 공유 및 안전 교육 실시, 작업 진행 전 주의사항 및 작업환경 확인 철저, 작업 후 자재 및 공구류 정리정돈 철저."
8,25,본선터널 2-1구간(종점방향)의 천단부 보조공법(훠홀링) 시공중 차징카 붐대에 버켓을 연결하는 연결핀이 부러지면서 근로자 추락.,"건설기계 주기적 비파괴 검사 및 연결핀 점검, 근로자 안전벨트 착용 교육 관리와 상하 동시작업 통제의 위험성 평가 반영."
9,34,"배수로 드레인 이동통로 확보상태 미흡, 작업자의 불안전한 상태에서의 이동 작업","배수로 드레인 덮개 설치 및 충분한 이동통로 확보, 작업자 재발방지 특별안전교육 실시와 안전교육 조치 이행 확인."
