,values
0,"
### Input:
고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.
### Response:
안전교육 실시 및 안전관리 철저."
1,"
### Input:
부주의
### Response:
안전교육 실시 및 안전관리 철저."
2,"
### Input:
3층 슬라브 작업시 이동중  미끄러짐
### Response:
작업자 안전교육 실시 및 안전장비 착용 철저."
3,"
### Input:
교각 기초철근 조립 중 강한 바람에 의해 기둥측 주철근이 균형을 잃고 전도되어, 하부에서 작업 중이던 철근공 2명이 철근에 부딪힌 사고
### Response:
작업자 안전교육 실시 및 현장 관리감독 철저."
4,"
### Input:
근로자의 부주의
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 제거 및 관리감독 강화."
5,"
### Input:
일정 거리를 두고 떨어져 있었지만 튕겨서 방향이 바뀔 것을 예상하고 좀 더 거리를 두었어야함
### Response:
작업자 안전교육 실시와 작업 전후 안전점검 철저."
6,"
### Input:
철골보와 기둥철판 사이 틈새를 고정하는 공구를 빠지지 않도록 하는 안전장치가 미비아여, 공구가 빠지면서 손가락 협착 발생
### Response:
안전교육 실시 및 철저한 관리감독을 통한 재발 방지 대책."
7,"
### Input:
비계계단에서 이동중 근로자 부주의로 인해 발을 헛디뎌 떨어짐
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 사전 제거 및 관리감독 철저."
8,"
### Input:
고소작업대 운전원과 동승자(재해자) 사이 소통 미흡
### Response:
동승자와의 사전 협의를 통한 안전교육 실시 및 고소작업대 운전원의 재발 방지 대책."
9,"
### Input:
기존 CIP 절단 작업 중 와이어쏘 날이 끊어져 재해자가 작업 CIP 뒤쪽으로 와이어 확인 및 교체작업 중 개구부로 추락
### Response:
재발 방지 대책과 향후 조치 계획."
10,"
### Input:
사고자(000) 단독으로 임의작업 시행(작업계획 3층, 사고현장 1층)으로 안전고리 미착용 등 근로자 부주의, 2인이상 작업 미시행
### Response:
근로자 교육 실시 및 재발 방지 대책 수립."
11,"
### Input:
1.작업자 단독작업 실시    2. 사다리 전도방지장치  및  2인1조 작업 미이행
### Response:
사고 재발 방지를 위한 안전교육 실시와 현장 관리감독 철저를 통한 재발 방지 대책 마련."
12,"
### Input:
작업바닥 정리정돈 미흡 및 작업자 부주의
### Response:
작업장 주변 정리정돈 철저와 안전교육 실시."
13,"
### Input:
파이프를 밟고 미끄러지면서 발목과 발가락이 꺽이면서 발가락 골절
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 사고사례 전파 및 재발 방지를 위한 조치 계획."
14,"
### Input:
자재 운반 시 임의로 많은 양을 운반하다 중심을 잃고 넘어짐
### Response:
작업 전 안전교육 실시 및 자재 운반 시 적정량 운반과 안전수칙 준수 철저 교육."
15,"
### Input:
창호구간 사춤작업을 위해 우마작업대를 들고 공구를 운반대차에 싣고 이동중 바닥의 결빙구간을 정확히 인지하지 못하여 미끄러져 넘어지면서 들고 가던 우마작업대가 위에 떨어지며 우측 가슴부위를 가격하여 충격을 받은 사고
### Response:
사고발생 후 안전교육 실시 및 재발 방지를 위한 조치 계획."
16,"
### Input:
작업자 부주의
### Response:
안전교육 실시 및 안전관리 철저."
17,"
### Input:
현장 내 조적 작업 진행 중 해당 작업자 허리에서 통증이 발생하였고, 병원 진료 등 확인 결과 척추추간판협착증, 전방전위증  등이 발생된걸로 확인
### Response:
작업자 안전교육 실시 및 재발 방지 대책 수립."
18,"
### Input:
경사각이 급한 구간을 빠르게 오르려다 넘어짐
### Response:
작업 전 안전교육 실시와 작업자 관리 철저."
19,"
### Input:
넘어지는 타일을 지지하다 피하는 과정에서 타일에 왼쪽 발을 부딪힘
### Response:
타일 작업 시 안전교육 실시와 작업 전후 안전점검 실시."
20,"
### Input:
2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임
### Response:
작업 전 안전교육 실시 및 작업자 간 의사소통 철저."
21,"
### Input:
공사현장 내부 바닥자재에 걸려 넘어짐
### Response:
작업 전 안전교육 실시 및 작업 전후 안전점검 철저."
22,"
### Input:
작업자 미끄러짐
### Response:
안전교육 실시 및 안전장비 지급."
23,"
### Input:
우레탄폼 사춤작업 준비 중 얼어있는 우레탄폼 케이스를 토치로 가열하다 케이스가 폭발하면서 파편에 맞아 우측 발가락 골절됨
### Response:
안전교육 실시 및 안전장비 착용 철저, 작업 전후 안전점검 실시."
24,"
### Input:
작업자 부주의로 인해
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
25,"
### Input:
본선터널 2-1구간(종점방향)의 천단부 보조공법(훠홀링) 시공중 차징카 붐대에 버켓을 연결하는 연결핀이 부러지면서 근로자 추락.
### Response:
작업 전 안전교육 실시 및 작업 전 사전 점검 철저, 현장 관리감독 강화."
26,"
### Input:
공연장 3층 정리자재를 1층으로 낙하 도중 자재가 바닥에 떨어지면서 튀어 주변 통제를 위해 신호를 하던 재해자 우측 눈 가격
### Response:
작업 전 안전교육 실시와 작업 전후 안전점검 실시, 사고사례 전파 및 향후 조치 계획."
27,"
### Input:
배관 파이프 고정 작업간 상호 안전상태 확인 미흡 및 타설중지 미실시
### Response:
작업 전 안전교육 실시와 배관파이프 고정 작업 시 상호 안전 상태 확인 철저, 타설 중지 조치 철저."
28,"
### Input:
적절한 보안경 미착용, 보조원의 위치 부적절
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
29,"
### Input:
14층 실외기실 슬라브 도장작업 중 부주의로 인한 추락
### Response:
안전교육 실시 및 안전관리 철저."
30,"
### Input:
현장내 이동중 208동 외부계단에서 미끄러짐
### Response:
작업 전 안전교육 실시 및 현장 내 위험요소 제거."
31,"
### Input:
작업자 부주위
### Response:
작업자 안전교육 실시 및 작업장 정리정돈 철저."
