,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
0,TRAIN_00000,2023-12-31 오후 12:44,정규작업 -,맑음,1℃,30%,건축 / 건축물 / 근린생활시설,"4,892.77㎡","지상 14층, 지하 3층",떨어짐(5미터 이상 ~ 10미터 미만),없음,건축 > 철근콘크리트공사,건설자재 > 철근,설치작업,근린생활시설 / 내부,철근 / 고소,"고소작업 중 추락 위험이 있음에도 불구하고, 안전난간대, 안전고리 착용 등 안전장치가 미흡하였음.",고소작업 시 추락 위험이 있는 부위에 안전장비 설치.
4,TRAIN_00004,2023-12-30 오전 10:00,정규작업 -,맑음,0℃,10%,건축 / 건축물 / 공동주택,"59,388.93㎡","지상 27층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 해체 및 철거공사,기타 > 건설폐기물,해체작업,공동주택 / 내부,건설폐기물 / 바닥,근로자의 부주의,자재 정리 작업 시 세부 작업 방법에 대한 교육 실시와 작업 구간 이동 경로 점검 후 장애물 사전 정리 작업 실시.
17,TRAIN_00017,2023-12-29 오후 12:00,정규작업 -,맑음,1℃,60%,건축 / 건축물 / 창고시설,"250,580.42㎡","지상 9층, 지하 2층",기타,없음,건축 > 조적공사,질병 > 질병,쌓기작업,창고시설 / 내부,질병 / 허리,"현장 내 조적 작업 진행 중 해당 작업자 허리에서 통증이 발생하였고, 병원 진료 등 확인 결과 척추추간판협착증, 전방전위증  등이 발생된걸로 확인",작업시간 및 휴식시간 준수에 대한 재발 방지 대책과 향후 조치 계획.
19,TRAIN_00019,2023-12-29 오후 12:00,정규작업 -,맑음,4℃,70%,건축 / 건축물 / 공동주택,"207,997㎡","지상 34층, 지하 3층",부딪힘,없음,건축 > 타일 및 돌공사,건설자재 > 자재,양중작업,공동주택 / 외부,자재 / 바닥,넘어지는 타일을 지지하다 피하는 과정에서 타일에 왼쪽 발을 부딪힘,"양중 작업 시 기준무게(25kg) 이상 운반을 위한 2인 1조 작업 교육, 자재 전도 방지를 위한 버팀대 설치, 작업 전 바닥 상태 확인 및 정리를 통한 평평한 작업 환경 조성."
20,TRAIN_00020,2023-12-29 오전 11:40,정규작업 -,맑음,5℃,50%,건축 / 건축물 / 공장,"270,748.50㎡","지상 8층, 지하 0층",끼임,없음,건축 > 철골공사,건설자재 > 자재,운반작업,공장 / 내부,자재 / 바닥,"2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임",인력운반 작업 시 1인당 적정무게 준수 및 중량물의 무게별 작업방법 공유와 2인1조 작업 시 의사소통 미흡으로 발생한 사고사례 전파 교육 실시.
31,TRAIN_00031,2023-12-29 오전 08:10,정규작업 -,맑음,5℃,40%,건축 / 건축물 / 공동주택,"76,399.25㎡","지상 43층, 지하 4층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,부재 > 슬래브,설치작업,공동주택 / 내부,슬래브 / 바닥,작업자 부주위,"일일 T.B.M. 실시, 작업 방법 재주지, 해당 내용 위험성 평가 회의 진행 및 전파, 작업장 주변 청소 및 정리 정돈, 현장 지정 병원으로 검사 및 조치 후 요양 계획."
37,TRAIN_00037,2023-12-28 오후 04:20,정규작업 -,맑음,-1℃,45%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,가시설 > 안전시설물,고소작업,업무시설 / 내부,안전시설물 / 고소,1. 렌탈에서 하차시 3점지지 미이행 / 계단 발판 미확인,"작업대 승하강 시 계단 발판 육안 확인 철저와 3점지지 이행, 안전한 통로 확보 및 간섭 최소화로 인한 재발 방지 대책."
38,TRAIN_00038,2023-12-28 오후 04:00,출ㆍ퇴근 등 -,맑음,0℃,50%,건축 / 건축물 / 공동주택,"100,827.54㎡","지상 29층, 지하 1층",기타,없음,건축 > 가설공사,토사 및 암반 > 지반,이동,공동주택 / 인접주변,지반 / 바닥,동주변 토공정리 완료 전 이동,동 주변 근로자 이동구간 지반정리 및 TBM 시 사고사례 전파와 근로자 이동통로 정비.
39,TRAIN_00039,2023-12-28 오후 03:27,정규작업 -,맑음,4℃,10%,건축 / 건축물 / 교육연구시설,"20,717.05㎡","지상 4층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 조적공사,가시설 > 비계,설치작업,교육연구시설 / 외부,비계 / 지하,주차장 램프 시스템비계 위에서 치장벽돌 쌓기 작업 중 작업도구를 가지러 비계발판에서 창호쪽으로 이동하던 중 미끄러지면서  비계와 발판 사이로 빠지면서 좌측 가슴부위를 창호 인방 모서리에 부딪힌 사고,"비계의 안전난간대 임의해체 금지, 안전난간대 해체 시 비계와 벽체 사이의 발빠짐이나 추락을 예방할 수 있는 작업발판 추가 설치, 비계 상부 작업자의 안전대 착용 및 고리체결 상태 유지, 사고 원인 조사에 따른 동종 재해 예방 대책에 대한 근로자 대상 안전교육 실시, 시공자의 안전관리업무 강화 지시 및 발주자/건설사업관리단 현장 안전점검 실시 예정."
47,TRAIN_00047,2023-12-28 오전 10:00,정규작업 -,맑음,-1℃,45%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",부딪힘,없음,건축 > 철근콘크리트공사,건설공구 > 공구류,설치작업,업무시설 / 내부,공구류 / 상부(위),수공구 사용 시 집중력 분산,"수공구 사용 시 올바른 자세와 집중력 유지, 협소 공간 내 작업 시 고정용 보조기구 또는 타정기 사용 및 안전 보호 장구 착용의 필요성."
